doc_id,e1_end_chr,e1_start_chr,e1_text,e2_end_chr,e2_start_chr,e2_text,sent_abs_offset,sent_id,sent_len,sent_pos,type,value
PMC3171068,130,126,IL-10,211,207,Tregs,12409,104832,65,55,secreted_cytokine,-1
PMC3171068,130,126,IL-10,211,207,Tregs,12409,104832,65,55,inducing_cytokine,-1
PMC2722173,90,86,IL-10,96,92,T reg,22245,24587,24,186,secreted_cytokine,-1
PMC2722173,90,86,IL-10,96,92,T reg,22245,24587,24,186,inducing_cytokine,-1
PMC5458103,43,39,IL-1β,21,18,CTLs,17573,186787,24,107,secreted_cytokine,1
PMC5458103,43,39,IL-1β,21,18,CTLs,17573,186787,24,107,inducing_cytokine,-1
PMC2718810,235,232,IFNγ,377,368,effector T,13782,590110,66,71,secreted_cytokine,-1
PMC2718810,235,232,IFNγ,377,368,effector T,13782,590110,66,71,inducing_cytokine,-1
PMC4337607,45,41,TGF-β,126,124,Th1,14270,764749,66,73,secreted_cytokine,-1
PMC4337607,45,41,TGF-β,126,124,Th1,14270,764749,66,73,inducing_cytokine,-1
PMC5336310,252,249,IFNγ,60,57,TH17,42171,558497,55,310,secreted_cytokine,-1
PMC5336310,252,249,IFNγ,60,57,TH17,42171,558497,55,310,inducing_cytokine,-1
PMC3039849,137,134,IL-5,72,70,Th2,576,714107,44,4,secreted_cytokine,1
PMC3039849,137,134,IL-5,72,70,Th2,576,714107,44,4,inducing_cytokine,-1
PMC3999888,472,457,Interferon-alpha,1333,1332,Th,43824,241815,267,196,secreted_cytokine,-1
PMC3999888,472,457,Interferon-alpha,1333,1332,Th,43824,241815,267,196,inducing_cytokine,-1
PMC2585846,211,207,IL-17,31,29,Th1,1571,555401,51,10,secreted_cytokine,-1
PMC2585846,211,207,IL-17,31,29,Th1,1571,555401,51,10,inducing_cytokine,-1
PMC1421705,210,207,IL-7,122,117,thymic,320,181750,45,2,secreted_cytokine,-1
PMC1421705,210,207,IL-7,122,117,thymic,320,181750,45,2,inducing_cytokine,-1
PMC6448018,285,282,IFNγ,341,338,Th17,28055,645992,84,167,secreted_cytokine,-1
PMC6448018,285,282,IFNγ,341,338,Th17,28055,645992,84,167,inducing_cytokine,-1
PMC1175027,561,559,TNF,549,542,T-helper,32003,42760,109,192,secreted_cytokine,-1
PMC1175027,561,559,TNF,549,542,T-helper,32003,42760,109,192,inducing_cytokine,-1
PMC4070364,234,230,IL-10,375,371,Tregs,3255,757392,65,17,secreted_cytokine,-1
PMC4070364,234,230,IL-10,375,371,Tregs,3255,757392,65,17,inducing_cytokine,-1
PMC2792732,74,71,CCR5,184,179,thymic,1398,38627,40,8,secreted_cytokine,-1
PMC2792732,74,71,CCR5,184,179,thymic,1398,38627,40,8,inducing_cytokine,-1
PMC6234919,159,155,IL-12,208,206,Th1,19929,500457,61,106,inducing_cytokine,1
PMC6234919,159,155,IL-12,208,206,Th1,19929,500457,61,106,secreted_cytokine,-1
PMC5727176,35,30,IL-17A,121,119,γδT,24210,749154,34,150,secreted_cytokine,1
PMC5727176,35,30,IL-17A,121,119,γδT,24210,749154,34,150,inducing_cytokine,-1
PMC3614533,167,163,IL-10,29,27,Th2,19313,521643,30,101,secreted_cytokine,-1
PMC3614533,167,163,IL-10,29,27,Th2,19313,521643,30,101,inducing_cytokine,-1
PMC6020784,164,160,IL-10,234,231,TH17,42749,188106,49,308,secreted_cytokine,-1
PMC6020784,164,160,IL-10,234,231,TH17,42749,188106,49,308,inducing_cytokine,-1
PMC3731939,4,0,IL-12,53,51,Th1,31033,603192,30,200,secreted_cytokine,-1
PMC3731939,4,0,IL-12,53,51,Th1,31033,603192,30,200,inducing_cytokine,-1
PMC5919828,280,275,killer,216,213,γδ T,43161,95968,59,226,secreted_cytokine,-1
PMC5919828,280,275,killer,216,213,γδ T,43161,95968,59,226,inducing_cytokine,-1
PMC3566915,139,136,IL10,91,90,Th,22580,727439,39,127,secreted_cytokine,-1
PMC3566915,139,136,IL10,91,90,Th,22580,727439,39,127,inducing_cytokine,-1
PMC3236218,89,85,IL-12,7,4,iNKT,1457,370155,18,11,secreted_cytokine,-1
PMC3236218,89,85,IL-12,7,4,iNKT,1457,370155,18,11,inducing_cytokine,-1
PMC5683130,192,189,IL-6,42,39,Th17,62828,195431,77,360,secreted_cytokine,-1
PMC5683130,192,189,IL-6,42,39,Th17,62828,195431,77,360,inducing_cytokine,-1
PMC3967807,151,148,IL-2,104,102,Th1,24026,40030,25,162,secreted_cytokine,-1
PMC3967807,151,148,IL-2,104,102,Th1,24026,40030,25,162,inducing_cytokine,-1
PMC4196542,54,50,IL-17,107,98,effector T,40553,26890,31,250,secreted_cytokine,1
PMC4196542,54,50,IL-17,107,98,effector T,40553,26890,31,250,inducing_cytokine,-1
PMC6162863,69,65,IL-22,87,84,γδ T,11179,20343,22,78,secreted_cytokine,1
PMC6162863,69,65,IL-22,87,84,γδ T,11179,20343,22,78,inducing_cytokine,-1
PMC6441173,1952,1947,CXCL14,2287,2285,NKT,22539,521817,461,111,secreted_cytokine,-1
PMC6441173,1952,1947,CXCL14,2287,2285,NKT,22539,521817,461,111,inducing_cytokine,-1
PMC3804955,178,175,IL21,324,321,TH17,12729,737425,48,82,secreted_cytokine,-1
PMC3804955,178,175,IL21,324,321,TH17,12729,737425,48,82,inducing_cytokine,-1
PMC5529425,338,335,IL-2,115,111,Tregs,18193,373650,67,126,secreted_cytokine,-1
PMC5529425,338,335,IL-2,115,111,Tregs,18193,373650,67,126,inducing_cytokine,-1
PMC3945471,4,0,IL-17,51,48,Th17,3176,522852,13,25,secreted_cytokine,1
PMC3945471,4,0,IL-17,51,48,Th17,3176,522852,13,25,inducing_cytokine,-1
PMC3405033,185,182,IL-2,321,314,Vγ9Vδ2 T,22225,722052,60,117,secreted_cytokine,-1
PMC3405033,185,182,IL-2,321,314,Vγ9Vδ2 T,22225,722052,60,117,inducing_cytokine,-1
PMC6459942,4167,4164,IL-1,2423,2421,Th1,13741,708497,987,84,secreted_cytokine,-1
PMC6459942,4167,4164,IL-1,2423,2421,Th1,13741,708497,987,84,inducing_cytokine,-1
PMC3000428,61,54,IL-12p35,26,23,Th17,27882,777183,44,207,secreted_cytokine,-1
PMC3000428,61,54,IL-12p35,26,23,Th17,27882,777183,44,207,inducing_cytokine,-1
PMC3966285,55,42,interleukin-17,390,387,Th17,2751,470719,74,16,secreted_cytokine,-1
PMC3966285,55,42,interleukin-17,390,387,Th17,2751,470719,74,16,inducing_cytokine,-1
PMC3000428,146,142,IFN-γ,85,82,Th17,1254,776983,30,7,secreted_cytokine,-1
PMC3000428,146,142,IFN-γ,85,82,Th17,1254,776983,30,7,inducing_cytokine,-1
PMC4557271,182,179,IL-4,203,201,Tfh,23644,570943,40,135,secreted_cytokine,-1
PMC4557271,182,179,IL-4,203,201,Tfh,23644,570943,40,135,inducing_cytokine,-1
PMC5466736,381,379,Tr1,419,415,Tregs,7225,790849,247,51,secreted_cytokine,-1
PMC5466736,381,379,Tr1,419,415,Tregs,7225,790849,247,51,inducing_cytokine,-1
PMC5222918,289,286,IL-9,80,78,TH2,4815,324275,54,33,secreted_cytokine,-1
PMC5222918,289,286,IL-9,80,78,TH2,4815,324275,54,33,inducing_cytokine,-1
PMC4278953,128,124,IL-23,76,73,Th17,726,593063,29,4,secreted_cytokine,-1
PMC4278953,128,124,IL-23,76,73,Th17,726,593063,29,4,inducing_cytokine,-1
PMC3747991,164,161,IL-4,86,84,Th1,3136,705794,29,13,secreted_cytokine,-1
PMC3747991,164,161,IL-4,86,84,Th1,3136,705794,29,13,inducing_cytokine,-1
PMC1325257,149,141,IFN-gamma,77,76,Th,18275,92432,43,125,secreted_cytokine,-1
PMC1325257,149,141,IFN-gamma,77,76,Th,18275,92432,43,125,inducing_cytokine,-1
PMC4363718,62,59,IL-4,118,116,Tfh,7336,535918,44,39,secreted_cytokine,-1
PMC4363718,62,59,IL-4,118,116,Tfh,7336,535918,44,39,inducing_cytokine,-1
PMC4001530,118,113,TGF-β1,21,15,naive T,956,702488,19,6,secreted_cytokine,-1
PMC4001530,118,113,TGF-β1,21,15,naive T,956,702488,19,6,inducing_cytokine,-1
PMC5135771,35,32,IL-6,212,209,Th17,21241,560734,39,139,secreted_cytokine,-1
PMC5135771,35,32,IL-6,212,209,Th17,21241,560734,39,139,inducing_cytokine,-1
PMC3747991,198,195,IL-4,79,77,Th1,25588,705943,64,162,secreted_cytokine,-1
PMC3747991,198,195,IL-4,79,77,Th1,25588,705943,64,162,inducing_cytokine,-1
PMC2768861,257,253,TGF-β,54,52,Th2,14078,702130,54,86,secreted_cytokine,-1
PMC2768861,257,253,TGF-β,54,52,Th2,14078,702130,54,86,inducing_cytokine,-1
PMC4918241,423,418,killer,69,48,natural killer T-cells,33447,519294,116,114,secreted_cytokine,-1
PMC4918241,423,418,killer,69,48,natural killer T-cells,33447,519294,116,114,inducing_cytokine,-1
PMC3201209,91,87,IL-21,183,181,Th1,403,568137,43,4,secreted_cytokine,-1
PMC3201209,91,87,IL-21,183,181,Th1,403,568137,43,4,inducing_cytokine,-1
PMC3125210,108,103,TGF-β1,44,42,Th3,29808,338322,57,177,secreted_cytokine,-1
PMC3125210,108,103,TGF-β1,44,42,Th3,29808,338322,57,177,inducing_cytokine,-1
PMC4279092,156,152,IL-10,29,27,Tr1,8275,393817,26,64,secreted_cytokine,-1
PMC4279092,156,152,IL-10,29,27,Tr1,8275,393817,26,64,inducing_cytokine,-1
PMC4257504,64,59,GM-CSF,157,155,Th0,30976,389537,38,199,secreted_cytokine,-1
PMC4257504,64,59,GM-CSF,157,155,Th0,30976,389537,38,199,inducing_cytokine,-1
PMC6299086,43,40,IL-2,110,107,Treg,56488,320252,20,307,secreted_cytokine,-1
PMC6299086,43,40,IL-2,110,107,Treg,56488,320252,20,307,inducing_cytokine,-1
PMC5471606,174,170,IL-17,96,93,Th17,2857,524177,35,15,secreted_cytokine,1
PMC5471606,174,170,IL-17,96,93,Th17,2857,524177,35,15,inducing_cytokine,-1
PMC2768861,100,96,IL-12,157,155,Th2,26874,702227,40,183,secreted_cytokine,-1
PMC2768861,100,96,IL-12,157,155,Th2,26874,702227,40,183,inducing_cytokine,-1
PMC5954031,164,159,TGF-β1,140,138,Th9,4694,540908,40,28,inducing_cytokine,1
PMC5954031,164,159,TGF-β1,140,138,Th9,4694,540908,40,28,secreted_cytokine,-1
PMC4676116,34,31,IL-5,146,144,Th2,17898,597524,37,76,secreted_cytokine,-1
PMC4676116,34,31,IL-5,146,144,Th2,17898,597524,37,76,inducing_cytokine,-1
PMC4426920,114,109,IL-12b,185,182,Th17,25021,520242,50,143,secreted_cytokine,-1
PMC4426920,114,109,IL-12b,185,182,Th17,25021,520242,50,143,inducing_cytokine,-1
PMC104278,58,55,CCR5,140,138,Th2,635,42553,28,4,secreted_cytokine,-1
PMC104278,58,55,CCR5,140,138,Th2,635,42553,28,4,inducing_cytokine,-1
PMC5634439,83,80,IL-4,38,36,Th2,35768,765210,32,303,inducing_cytokine,1
PMC5634439,83,80,IL-4,38,36,Th2,35768,765210,32,303,secreted_cytokine,-1
PMC5010418,30,26,IL-10,136,134,Th1,22482,511374,28,170,secreted_cytokine,-1
PMC5010418,30,26,IL-10,136,134,Th1,22482,511374,28,170,inducing_cytokine,-1
PMC3348100,336,332,IL-18,33,30,iNKT,6000,510498,71,30,secreted_cytokine,-1
PMC3348100,336,332,IL-18,33,30,iNKT,6000,510498,71,30,inducing_cytokine,-1
PMC4346631,258,255,IL-2,161,152,effector T,14780,55526,50,106,secreted_cytokine,-1
PMC4346631,258,255,IL-2,161,152,effector T,14780,55526,50,106,inducing_cytokine,-1
PMC6400287,419,416,TGFβ,261,258,TH17,48815,519069,85,278,secreted_cytokine,-1
PMC6400287,419,416,TGFβ,261,258,TH17,48815,519069,85,278,inducing_cytokine,-1
PMC4502949,20,16,IL-10,26,23,Th17,15876,158602,51,90,secreted_cytokine,1
PMC4502949,20,16,IL-10,26,23,Th17,15876,158602,51,90,inducing_cytokine,-1
PMC3039849,214,210,IFN-γ,326,323,Th17,26561,714298,56,195,secreted_cytokine,-1
PMC3039849,214,210,IFN-γ,326,323,Th17,26561,714298,56,195,inducing_cytokine,-1
PMC4294142,380,377,IL-4,849,842,T helper,19140,370630,208,100,secreted_cytokine,-1
PMC4294142,380,377,IL-4,849,842,T helper,19140,370630,208,100,inducing_cytokine,-1
PMC3405033,241,218,chemokine receptor CXCR5,259,257,TFH,32724,722110,76,175,secreted_cytokine,-1
PMC3405033,241,218,chemokine receptor CXCR5,259,257,TFH,32724,722110,76,175,inducing_cytokine,-1
PMC5131321,146,142,IL-13,19,17,Th1,3932,322733,34,30,secreted_cytokine,-1
PMC5131321,146,142,IL-13,19,17,Th1,3932,322733,34,30,inducing_cytokine,-1
PMC4766350,76,72,IFN-γ,28,26,Th1,6559,515753,17,41,secreted_cytokine,-1
PMC4766350,76,72,IFN-γ,28,26,Th1,6559,515753,17,41,inducing_cytokine,-1
PMC6360681,146,144,TNF,112,110,Th9,35732,706570,53,308,inducing_cytokine,1
PMC6360681,146,144,TNF,112,110,Th9,35732,706570,53,308,secreted_cytokine,-1
PMC5594533,225,222,IL-8,208,205,Th17,6208,620819,55,33,secreted_cytokine,-1
PMC5594533,225,222,IL-8,208,205,Th17,6208,620819,55,33,inducing_cytokine,-1
PMC4618596,21,16,IL-17A,204,202,Th1,15739,610957,38,88,secreted_cytokine,-1
PMC4618596,21,16,IL-17A,204,202,Th1,15739,610957,38,88,inducing_cytokine,-1
PMC2768861,171,168,IL-1,22,19,Th17,2233,702058,41,14,inducing_cytokine,1
PMC2768861,171,168,IL-1,22,19,Th17,2233,702058,41,14,secreted_cytokine,-1
PMC5614937,2994,2990,IFN-γ,3175,3166,type I NKT,26728,501275,846,155,secreted_cytokine,-1
PMC5614937,2994,2990,IFN-γ,3175,3166,type I NKT,26728,501275,846,155,inducing_cytokine,-1
PMC3694260,155,152,IL-6,164,161,Th17,23486,723434,63,103,inducing_cytokine,1
PMC3694260,155,152,IL-6,164,161,Th17,23486,723434,63,103,secreted_cytokine,-1
PMC6204373,96,92,CXCR5,107,105,TFH,32360,690879,39,191,secreted_cytokine,-1
PMC6204373,96,92,CXCR5,107,105,TFH,32360,690879,39,191,inducing_cytokine,-1
PMC6155914,193,189,IL-10,3,0,Treg,13073,693174,70,56,secreted_cytokine,1
PMC6155914,193,189,IL-10,3,0,Treg,13073,693174,70,56,inducing_cytokine,-1
PMC2413035,73,70,IL-6,24,13,naive CD4+ T,33213,583019,33,218,secreted_cytokine,-1
PMC2413035,73,70,IL-6,24,13,naive CD4+ T,33213,583019,33,218,inducing_cytokine,-1
PMC5592279,195,191,IFN-γ,566,565,TC,36451,359149,494,214,secreted_cytokine,-1
PMC5592279,195,191,IFN-γ,566,565,TC,36451,359149,494,214,inducing_cytokine,-1
PMC6325425,91,78,interleukin 17,3,0,Th17,2951,509996,18,18,secreted_cytokine,1
PMC6325425,91,78,interleukin 17,3,0,Th17,2951,509996,18,18,inducing_cytokine,-1
PMC4570275,70,67,IL-4,125,122,Th17,6100,573660,44,35,secreted_cytokine,-1
PMC4570275,70,67,IL-4,125,122,Th17,6100,573660,44,35,inducing_cytokine,-1
PMC2791889,76,73,IL-4,2,0,Th2,2981,511048,30,17,inducing_cytokine,1
PMC2791889,76,73,IL-4,2,0,Th2,2981,511048,30,17,secreted_cytokine,-1
PMC5126112,228,223,IL-17A,71,60,naive CD4+ T,699,714402,59,4,secreted_cytokine,-1
PMC5126112,228,223,IL-17A,71,60,naive CD4+ T,699,714402,59,4,inducing_cytokine,-1
PMC4451129,50,46,IL-17,197,194,MAIT,16883,767649,80,108,secreted_cytokine,-1
PMC4451129,50,46,IL-17,197,194,MAIT,16883,767649,80,108,inducing_cytokine,-1
PMC5324024,81,78,IL-2,96,87,effector T,57656,162547,34,322,secreted_cytokine,-1
PMC5324024,81,78,IL-2,96,87,effector T,57656,162547,34,322,inducing_cytokine,-1
PMC3120670,201,197,IL-1β,86,83,Th17,12413,776902,47,79,secreted_cytokine,-1
PMC3120670,201,197,IL-1β,86,83,Th17,12413,776902,47,79,inducing_cytokine,-1
PMC3975095,115,112,TGFβ,142,138,iTreg,39841,613563,29,238,secreted_cytokine,-1
PMC3975095,115,112,TGFβ,142,138,iTreg,39841,613563,29,238,inducing_cytokine,-1
PMC3376488,101,97,TGF-β,81,79,Th3,17180,689644,39,105,secreted_cytokine,1
PMC3376488,101,97,TGF-β,81,79,Th3,17180,689644,39,105,inducing_cytokine,-1
PMC5496499,316,313,EGFR,181,179,EMT,51820,542695,90,269,secreted_cytokine,-1
PMC5496499,316,313,EGFR,181,179,EMT,51820,542695,90,269,inducing_cytokine,-1
PMC4952071,121,117,IL-15,150,148,TEM,20178,15497,56,123,secreted_cytokine,-1
PMC4952071,121,117,IL-15,150,148,TEM,20178,15497,56,123,inducing_cytokine,-1
PMC4964446,241,237,IL-21,140,131,effector T,15055,674878,48,82,secreted_cytokine,-1
PMC4964446,241,237,IL-21,140,131,effector T,15055,674878,48,82,inducing_cytokine,-1
PMC3264534,110,106,IL-17,57,54,Th17,21235,663792,26,178,secreted_cytokine,-1
PMC3264534,110,106,IL-17,57,54,Th17,21235,663792,26,178,inducing_cytokine,-1
PMC3688567,234,230,IL-10,71,68,Th17,48095,544107,38,290,secreted_cytokine,-1
PMC3688567,234,230,IL-10,71,68,Th17,48095,544107,38,290,inducing_cytokine,-1
PMC2768861,94,90,TGF-β,189,187,Th1,14078,702130,54,86,secreted_cytokine,-1
PMC2768861,94,90,TGF-β,189,187,Th1,14078,702130,54,86,inducing_cytokine,-1
PMC6286512,115,112,CD95,166,164,TCM,8601,177812,60,62,secreted_cytokine,-1
PMC6286512,115,112,CD95,166,164,TCM,8601,177812,60,62,inducing_cytokine,-1
PMC1526552,106,102,TNF-α,37,35,Th1,18438,338059,47,110,secreted_cytokine,-1
PMC1526552,106,102,TNF-α,37,35,Th1,18438,338059,47,110,inducing_cytokine,-1
PMC3120670,99,95,TGF-β,142,139,Th17,12641,776903,37,80,secreted_cytokine,-1
PMC3120670,99,95,TGF-β,142,139,Th17,12641,776903,37,80,inducing_cytokine,-1
PMC4988785,36,33,IL7R,111,103,thymocyte,30166,230176,35,156,secreted_cytokine,-1
PMC4988785,36,33,IL7R,111,103,thymocyte,30166,230176,35,156,inducing_cytokine,-1
PMC5334120,105,101,IL-21,75,72,Th17,17993,373113,59,128,secreted_cytokine,1
PMC5334120,105,101,IL-21,75,72,Th17,17993,373113,59,128,inducing_cytokine,-1
PMC6459942,4610,4606,IFN-γ,2047,2045,Th1,13741,708497,987,84,secreted_cytokine,-1
PMC6459942,4610,4606,IFN-γ,2047,2045,Th1,13741,708497,987,84,inducing_cytokine,-1
PMC3997799,141,137,TGF-β,253,250,γδ T,18610,527358,57,96,secreted_cytokine,-1
PMC3997799,141,137,TGF-β,253,250,γδ T,18610,527358,57,96,inducing_cytokine,-1
PMC3516707,128,125,Il21,54,51,Th17,17748,220172,30,108,secreted_cytokine,-1
PMC3516707,128,125,Il21,54,51,Th17,17748,220172,30,108,inducing_cytokine,-1
PMC5529021,305,302,OX40,174,170,Tregs,1881,417820,53,10,secreted_cytokine,1
PMC5529021,305,302,OX40,174,170,Tregs,1881,417820,53,10,inducing_cytokine,-1
PMC5917822,409,405,CD127,112,108,TEMRA,27131,367482,129,137,secreted_cytokine,-1
PMC5917822,409,405,CD127,112,108,TEMRA,27131,367482,129,137,inducing_cytokine,-1
PMC3016394,113,110,IL22,69,66,Th17,6667,610190,62,38,secreted_cytokine,1
PMC3016394,113,110,IL22,69,66,Th17,6667,610190,62,38,inducing_cytokine,-1
PMC2491584,49,45,IFN-γ,19,18,Th,10655,791616,17,72,secreted_cytokine,-1
PMC2491584,49,45,IFN-γ,19,18,Th,10655,791616,17,72,inducing_cytokine,-1
PMC2699124,48,44,IL-23,211,208,Th17,4022,732775,42,25,secreted_cytokine,-1
PMC2699124,48,44,IL-23,211,208,Th17,4022,732775,42,25,inducing_cytokine,-1
PMC3639449,20,15,IL-21R,54,52,NKT,17393,451448,30,122,secreted_cytokine,-1
PMC3639449,20,15,IL-21R,54,52,NKT,17393,451448,30,122,inducing_cytokine,-1
PMC4557110,360,358,IL6,1348,1345,Th17,17408,650572,262,83,secreted_cytokine,-1
PMC4557110,360,358,IL6,1348,1345,Th17,17408,650572,262,83,inducing_cytokine,-1
PMC3997799,444,440,TGF-β,23,20,γδ T,12090,527328,104,66,secreted_cytokine,-1
PMC3997799,444,440,TGF-β,23,20,γδ T,12090,527328,104,66,inducing_cytokine,-1
PMC4294325,69,65,CXCR3,52,48,Tregs,32145,249146,30,208,secreted_cytokine,1
PMC4294325,69,65,CXCR3,52,48,Tregs,32145,249146,30,208,inducing_cytokine,-1
PMC6226514,70,66,IL-1β,39,36,Treg,37117,501036,32,222,secreted_cytokine,-1
PMC6226514,70,66,IL-1β,39,36,Treg,37117,501036,32,222,inducing_cytokine,-1
PMC4785102,45,41,IL-13,83,80,iNKT,9329,358753,22,56,secreted_cytokine,1
PMC4785102,45,41,IL-13,83,80,iNKT,9329,358753,22,56,inducing_cytokine,-1
PMC4772849,32,30,Il4,121,119,Th1,5951,541756,45,32,secreted_cytokine,-1
PMC4772849,32,30,Il4,121,119,Th1,5951,541756,45,32,inducing_cytokine,-1
PMC6180207,171,168,IL-2,148,132,double negative T,59401,758440,35,369,secreted_cytokine,-1
PMC6180207,171,168,IL-2,148,132,double negative T,59401,758440,35,369,inducing_cytokine,-1
PMC2196072,209,205,RANKL,70,66,γ/δ T,23275,365801,48,136,secreted_cytokine,-1
PMC2196072,209,205,RANKL,70,66,γ/δ T,23275,365801,48,136,inducing_cytokine,-1
PMC4473539,452,447,TGF-β1,198,196,Th1,32846,723859,125,183,secreted_cytokine,-1
PMC4473539,452,447,TGF-β1,198,196,Th1,32846,723859,125,183,inducing_cytokine,-1
PMC5100108,269,266,IFNα,129,125,Tregs,27642,392466,53,181,secreted_cytokine,-1
PMC5100108,269,266,IFNα,129,125,Tregs,27642,392466,53,181,inducing_cytokine,-1
PMC6069866,179,176,IL-9,218,216,Th9,26277,58116,45,179,secreted_cytokine,-1
PMC6069866,179,176,IL-9,218,216,Th9,26277,58116,45,179,inducing_cytokine,-1
PMC5757119,164,146,interleukin (IL)-17,118,115,CTLs,3359,603654,53,21,secreted_cytokine,1
PMC5757119,164,146,interleukin (IL)-17,118,115,CTLs,3359,603654,53,21,inducing_cytokine,-1
PMC4557271,3,0,IL-4,159,157,Th2,20976,570927,25,119,secreted_cytokine,-1
PMC4557271,3,0,IL-4,159,157,Th2,20976,570927,25,119,inducing_cytokine,-1
PMC3804955,59,56,IL-2,2,0,TH2,32275,737539,50,196,secreted_cytokine,-1
PMC3804955,59,56,IL-2,2,0,TH2,32275,737539,50,196,inducing_cytokine,-1
PMC5732693,35,33,IL2,96,93,Treg,26666,508985,49,174,secreted_cytokine,-1
PMC5732693,35,33,IL2,96,93,Treg,26666,508985,49,174,inducing_cytokine,-1
PMC3040219,213,209,IL-17,233,230,TH17,9363,750971,35,66,secreted_cytokine,-1
PMC3040219,213,209,IL-17,233,230,TH17,9363,750971,35,66,inducing_cytokine,-1
PMC3092354,102,98,IFN-γ,40,38,Th2,44531,396789,18,291,secreted_cytokine,-1
PMC3092354,102,98,IFN-γ,40,38,Th2,44531,396789,18,291,inducing_cytokine,-1
PMC3751038,108,105,IL-7,42,35,memory T,43538,590021,28,308,secreted_cytokine,-1
PMC3751038,108,105,IL-7,42,35,memory T,43538,590021,28,308,inducing_cytokine,-1
PMC2491584,71,67,IL-17,108,107,Th,20293,791714,24,170,secreted_cytokine,1
PMC2491584,71,67,IL-17,108,107,Th,20293,791714,24,170,inducing_cytokine,-1
PMC3388320,80,76,TGF-β,122,119,Th17,896,181306,21,6,secreted_cytokine,-1
PMC3388320,80,76,TGF-β,122,119,Th17,896,181306,21,6,inducing_cytokine,-1
PMC6370671,426,423,IL-1,1722,1720,TEM,6172,358152,359,30,secreted_cytokine,-1
PMC6370671,426,423,IL-1,1722,1720,TEM,6172,358152,359,30,inducing_cytokine,-1
PMC6376248,14,11,IL-2,214,211,Th17,22182,478665,78,171,secreted_cytokine,-1
PMC6376248,14,11,IL-2,214,211,Th17,22182,478665,78,171,inducing_cytokine,-1
PMC4453021,49,45,IFN-γ,33,31,Th1,9697,548282,49,64,secreted_cytokine,1
PMC4453021,49,45,IFN-γ,33,31,Th1,9697,548282,49,64,inducing_cytokine,-1
PMC4864289,123,119,IL-22,3,0,Th17,1491,102350,24,9,secreted_cytokine,1
PMC4864289,123,119,IL-22,3,0,Th17,1491,102350,24,9,inducing_cytokine,-1
PMC5745497,31,28,IL-4,16,14,Th2,6345,182644,22,44,secreted_cytokine,1
PMC5745497,31,28,IL-4,16,14,Th2,6345,182644,22,44,inducing_cytokine,-1
PMC1526552,67,64,IL-8,47,45,Th1,20200,338069,40,120,secreted_cytokine,-1
PMC1526552,67,64,IL-8,47,45,Th1,20200,338069,40,120,inducing_cytokine,-1
PMC5216550,121,117,IL-13,82,80,Th2,13006,220972,33,96,secreted_cytokine,1
PMC5216550,121,117,IL-13,82,80,Th2,13006,220972,33,96,inducing_cytokine,-1
PMC5988853,134,129,TGF-β1,59,56,Th17,8600,543162,31,48,inducing_cytokine,1
PMC5988853,134,129,TGF-β1,59,56,Th17,8600,543162,31,48,secreted_cytokine,-1
PMC6052877,27,24,IL-2,167,156,regulatory T,35029,191520,41,251,secreted_cytokine,-1
PMC6052877,27,24,IL-2,167,156,regulatory T,35029,191520,41,251,inducing_cytokine,-1
PMC2373838,111,109,DR3,87,83,T reg,9900,782081,32,62,secreted_cytokine,1
PMC2373838,111,109,DR3,87,83,T reg,9900,782081,32,62,inducing_cytokine,-1
PMC3282767,159,156,IL-6,26,24,Th9,547,739380,38,3,inducing_cytokine,1
PMC3282767,159,156,IL-6,26,24,Th9,547,739380,38,3,secreted_cytokine,-1
PMC4858849,3,0,IL-7,102,90,naïve T-cells,249,221627,30,2,secreted_cytokine,-1
PMC4858849,3,0,IL-7,102,90,naïve T-cells,249,221627,30,2,inducing_cytokine,-1
PMC2118166,174,170,RANKL,46,43,Th17,25603,340742,36,143,secreted_cytokine,-1
PMC2118166,174,170,RANKL,46,43,Th17,25603,340742,36,143,inducing_cytokine,-1
PMC2768861,279,275,IFN-γ,136,125,naive CD4+ T,9582,702102,51,58,secreted_cytokine,-1
PMC2768861,279,275,IFN-γ,136,125,naive CD4+ T,9582,702102,51,58,inducing_cytokine,-1
PMC5314955,89,62,transforming growth factor-β,3,0,Th17,906,535463,33,7,inducing_cytokine,1
PMC5314955,89,62,transforming growth factor-β,3,0,Th17,906,535463,33,7,secreted_cytokine,-1
PMC2869028,235,232,CCR5,240,238,Th1,8228,295761,52,40,secreted_cytokine,1
PMC2869028,235,232,CCR5,240,238,Th1,8228,295761,52,40,inducing_cytokine,-1
PMC3043090,104,100,IL23R,50,47,Th17,18533,791218,40,117,secreted_cytokine,-1
PMC3043090,104,100,IL23R,50,47,Th17,18533,791218,40,117,inducing_cytokine,-1
PMC3694260,52,48,TGF-β,273,264,thymocytes,17544,723406,74,75,secreted_cytokine,-1
PMC3694260,52,48,TGF-β,273,264,thymocytes,17544,723406,74,75,inducing_cytokine,-1
PMC5833069,163,159,IL-10,27,18,effector T,4369,325614,31,28,secreted_cytokine,-1
PMC5833069,163,159,IL-10,27,18,effector T,4369,325614,31,28,inducing_cytokine,-1
PMC2193457,4,0,IFN-γ,64,62,Th2,15309,787750,22,109,secreted_cytokine,-1
PMC2193457,4,0,IFN-γ,64,62,Th2,15309,787750,22,109,inducing_cytokine,-1
