category,extid,label,namespace,parent,priority,species,species_id,syn,syn_typ,pref_lbl,pref_id,enabled
gene,PR:000009332,killer cell immunoglobulin-like receptor 2DS1,protein,,5.0,any,3.0,killer cell immunoglobulin-like receptor 2DS1,label,CD158h,PR:000009332,True
gene,PR:000031657,killer cell immunoglobulin-like receptor 2DL5B,protein,,5.0,any,3.0,killer cell immunoglobulin-like receptor 2DL5B,label,CD158F,PR:000031657,True
gene,PR:000009331,killer cell immunoglobulin-like receptor 2DL5A,protein,,5.0,any,3.0,killer cell immunoglobulin-like receptor 2DL5A,label,CD158f1,PR:000009331,True
gene,PR:000009330,killer cell immunoglobulin-like receptor 2DL4,protein,,5.0,any,3.0,killer cell immunoglobulin-like receptor 2DL4,label,CD158d,PR:000009330,True
gene,PR:000009329,killer cell immunoglobulin-like receptor 2DL3,protein,,5.0,any,3.0,killer cell immunoglobulin-like receptor 2DL3,label,CD158b2,PR:000009329,True
gene,PR:000009328,killer cell immunoglobulin-like receptor 2DL2,protein,,5.0,any,3.0,killer cell immunoglobulin-like receptor 2DL2,label,CD158b1,PR:000009328,True
gene,PR:000009327,killer cell immunoglobulin-like receptor 2DL1,protein,,5.0,any,3.0,killer cell immunoglobulin-like receptor 2DL1,label,CD158a,PR:000009327,True
gene,PR:000001873,kell blood group glycoprotein,protein,,5.0,any,3.0,kell blood group glycoprotein,label,CD238,PR:000001873,True
gene,PR:000001872,junctional adhesion molecule B,protein,,5.0,any,3.0,junctional adhesion molecule B,label,CD322,PR:000001872,True
gene,PR:000001871,junctional adhesion molecule A,protein,,5.0,any,3.0,junctional adhesion molecule A,label,CD321,PR:000001871,True
gene,PR:000023036,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,protein,,4.0,any,3.0,ispD,exact,ispD,PR:000023036,True
gene,PR:000008939,intraflagellar transport protein 81,protein,,5.0,any,3.0,intraflagellar transport protein 81,label,CDV1,PR:000008939,True
gene,PR:000001397,interleukin-9 receptor,protein,,5.0,any,3.0,interleukin-9 receptor,label,CD129,PR:000001397,True
gene,PR:000001869,interleukin-7 receptor subunit alpha,protein,,5.0,any,3.0,interleukin-7 receptor subunit alpha,label,CD127,PR:000001869,True
gene,PR:000001868,interleukin-6 receptor subunit beta,protein,,5.0,any,3.0,interleukin-6 receptor subunit beta,label,CD130,PR:000001868,True
gene,PR:000001394,interleukin-6 receptor subunit alpha,protein,,5.0,any,3.0,interleukin-6 receptor subunit alpha,label,CD126,PR:000001394,True
gene,PR:000001393,interleukin-6,protein,,5.0,any,3.0,interleukin-6,label,CDF,PR:000001393,True
gene,PR:000001867,interleukin-5 receptor subunit alpha,protein,,5.0,any,3.0,interleukin-5 receptor subunit alpha,label,CD125,PR:000001867,True
gene,PR:000001866,interleukin-4 receptor subunit alpha,protein,,5.0,any,3.0,interleukin-4 receptor subunit alpha,label,CD124,PR:000001866,True
gene,PR:000001865,interleukin-3 receptor class 2 alpha chain,protein,,5.0,any,3.0,interleukin-3 receptor class 2 alpha chain,label,CD123,PR:000001865,True
gene,PR:000008998,interleukin-21 receptor,protein,,5.0,any,3.0,interleukin-21 receptor,label,CD360,PR:000008998,True
gene,PR:000001381,interleukin-2 receptor subunit beta,protein,,5.0,any,3.0,interleukin-2 receptor subunit beta,label,CD122,PR:000001381,True
gene,PR:000001380,interleukin-2 receptor subunit alpha,protein,,5.0,any,3.0,interleukin-2 receptor subunit alpha,label,CD25,PR:000001380,True
gene,PR:000001378,interleukin-18 receptor accessory protein,protein,,5.0,any,3.0,interleukin-18 receptor accessory protein,label,CD218b,PR:000001378,True
gene,PR:000001377,interleukin-18 receptor 1,protein,,5.0,any,3.0,interleukin-18 receptor 1,label,CD218a,PR:000001377,True
gene,PR:000001375,interleukin-17 receptor A,protein,,5.0,any,3.0,interleukin-17 receptor A,label,CD217,PR:000001375,True
gene,PR:000008981,interleukin-15 receptor subunit alpha,protein,,5.0,any,3.0,interleukin-15 receptor subunit alpha,label,CD215,PR:000008981,True
gene,PR:000001372,interleukin-13 receptor subunit alpha-2,protein,,5.0,any,3.0,interleukin-13 receptor subunit alpha-2,label,CD213a2,PR:000001372,True
gene,PR:000001371,interleukin-13 receptor subunit alpha-1,protein,,5.0,any,3.0,interleukin-13 receptor subunit alpha-1,label,CD213a1,PR:000001371,True
gene,PR:000001367,interleukin-12 receptor subunit beta-1,protein,,5.0,any,3.0,interleukin-12 receptor subunit beta-1,label,CD212,PR:000001367,True
gene,PR:000008979,interleukin-10 receptor subunit beta,protein,,5.0,any,3.0,interleukin-10 receptor subunit beta,label,CDw210b,PR:000008979,True
gene,PR:000001365,interleukin-10 receptor subunit alpha,protein,,5.0,any,3.0,interleukin-10 receptor subunit alpha,label,CDw210a,PR:000001365,True
gene,PR:000001364,interleukin-1 receptor type II,protein,,5.0,any,3.0,interleukin-1 receptor type II,label,CD121b,PR:000001364,True
gene,PR:000001363,interleukin-1 receptor type I,protein,,5.0,any,3.0,interleukin-1 receptor type I,label,CD121a,PR:000001363,True
organism-gene,PR:P13164,interferon-induced transmembrane protein 1 (human),protein,,5.0,human,2.0,interferon-induced transmembrane protein 1,label,CD225,PR:P13164,True
gene,PR:000001361,interferon gamma receptor alpha chain,protein,,5.0,any,3.0,interferon gamma receptor alpha chain,label,CD119,PR:000001361,True
gene,PR:000001359,intercellular adhesion molecule 4,protein,,5.0,any,3.0,intercellular adhesion molecule 4,label,CD242,PR:000001359,True
gene,PR:000001468,intercellular adhesion molecule 3,protein,,5.0,any,3.0,intercellular adhesion molecule 3,label,CD50,PR:000001468,True
gene,PR:000001358,intercellular adhesion molecule 2,protein,,5.0,any,3.0,intercellular adhesion molecule 2,label,CD102,PR:000001358,True
gene,PR:000001467,intercellular adhesion molecule 1,protein,,5.0,any,3.0,intercellular adhesion molecule 1,label,CD54,PR:000001467,True
gene,PR:000009140,integrin beta-4,protein,,5.0,any,3.0,integrin beta-4,label,CD104,PR:000009140,True
gene,PR:000002042,integrin beta-3,protein,,5.0,any,3.0,integrin beta-3,label,CD61,PR:000002042,True
gene,PR:000002041,integrin beta-2,protein,,5.0,any,3.0,integrin beta-2,label,CD18,PR:000002041,True
gene,PR:000002040,integrin beta-1,protein,,5.0,any,3.0,integrin beta-1,label,CD29,PR:000002040,True
gene,PR:000001013,integrin alpha-X,protein,,5.0,any,3.0,integrin alpha-X,label,CD11c,PR:000001013,True
gene,PR:000009135,integrin alpha-V,protein,,5.0,any,3.0,integrin alpha-V,label,CD51,PR:000009135,True
gene,PR:000001012,integrin alpha-M,protein,,5.0,any,3.0,integrin alpha-M,label,CD11b,PR:000001012,True
gene,PR:000001011,integrin alpha-L,protein,,5.0,any,3.0,integrin alpha-L,label,CD11a,PR:000001011,True
gene,PR:000009127,integrin alpha-IIb,protein,,5.0,any,3.0,integrin alpha-IIb,label,CD41,PR:000009127,True
gene,PR:000001010,integrin alpha-E,protein,,5.0,any,3.0,integrin alpha-E,label,CD103,PR:000001010,True
gene,PR:000001009,integrin alpha-D,protein,,5.0,any,3.0,integrin alpha-D,label,CD11d,PR:000001009,True
gene,PR:000009131,integrin alpha-6,protein,,5.0,any,3.0,integrin alpha-6,label,CD49f,PR:000009131,True
gene,PR:000009130,integrin alpha-5,protein,,5.0,any,3.0,integrin alpha-5,label,CD49e,PR:000009130,True
gene,PR:000009129,integrin alpha-4,protein,,5.0,any,3.0,integrin alpha-4,label,CD49d,PR:000009129,True
gene,PR:000009128,integrin alpha-3,protein,,5.0,any,3.0,integrin alpha-3,label,CD49c,PR:000009128,True
gene,PR:000001008,integrin alpha-2,protein,,5.0,any,3.0,integrin alpha-2,label,CD49b,PR:000001008,True
gene,PR:000001007,integrin alpha-1,protein,,5.0,any,3.0,integrin alpha-1,label,CD49a,PR:000001007,True
gene,PR:000003273,insulin-like growth factor 1 receptor,protein,,5.0,any,3.0,insulin-like growth factor 1 receptor,label,CD221,PR:000003273,True
gene,PR:000009064,insulin receptor,protein,,5.0,any,3.0,insulin receptor,label,CD220,PR:000009064,True
organism-gene,PR:P31826,inner membrane ABC transporter ATP-binding protein YddA (Escherichia coli K-12),protein,PR:000035174,5.0,any,3.0,inner membrane ABC transporter ATP-binding protein YddA (Escherichia coli K-12),label,b1496,PR:P31826,True
gene,PR:000035174,inner membrane ABC transporter ATP-binding protein YddA,protein,,5.0,any,3.0,inner membrane ABC transporter ATP-binding protein YddA,label,CDS102,PR:000035174,True
gene,PR:000001860,inducible T-cell costimulator,protein,,5.0,any,3.0,inducible T-cell costimulator,label,CD278,PR:000001860,True
gene,PR:000009181,immunoglobulin-binding protein 1b,protein,,5.0,any,3.0,immunoglobulin-binding protein 1b,label,Igbp1b,PR:000009181,True
gene,PR:000008941,immunoglobulin-binding protein 1,protein,,5.0,any,3.0,immunoglobulin-binding protein 1,label,p52,PR:000008941,True
gene,PR:000001090,immunoglobulin superfamily member 8,protein,,5.0,any,3.0,immunoglobulin superfamily member 8,label,CD316,PR:000001090,True
gene,PR:000001089,immunoglobulin superfamily member 2,protein,,5.0,any,3.0,immunoglobulin superfamily member 2,label,CD101,PR:000001089,True
gene,PR:000001859,immunoglobulin lambda-like polypeptide 1,protein,,5.0,any,3.0,immunoglobulin lambda-like polypeptide 1,label,CD179b,PR:000001859,True
gene,PR:000001858,immunoglobulin iota chain,protein,,5.0,any,3.0,immunoglobulin iota chain,label,CD179a,PR:000001858,True
gene,PR:000001857,immunoglobulin alpha Fc receptor,protein,,5.0,any,3.0,immunoglobulin alpha Fc receptor,label,CD89,PR:000001857,True
gene,PR:000001856,hyaluronan mediated motility receptor,protein,,5.0,any,3.0,hyaluronan mediated motility receptor,label,CD168,PR:000001856,True
gene,PR:000005297,homeobox protein CDX-4,protein,,5.0,any,3.0,homeobox protein CDX-4,label,CDX4,PR:000005297,True
gene,PR:000005296,homeobox protein CDX-2,protein,,5.0,any,3.0,homeobox protein CDX-2,label,CDX3,PR:000005296,True
gene,PR:000005295,homeobox protein CDX-1,protein,,5.0,any,3.0,homeobox protein CDX-1,label,CDX1,PR:000005295,True
gene,PR:000001319,SLAM family member 5,protein,,4.0,any,3.0,hly9-beta,exact,CD84,PR:000001319,True
gene,PR:000015306,histone-lysine N-methyltransferase SMYD1,protein,,5.0,any,3.0,histone-lysine N-methyltransferase SMYD1,label,CD8b-opposite,PR:000015306,True
gene,PR:000008487,histone deacetylase 8,protein,,5.0,any,3.0,histone deacetylase 8,label,HD8,PR:000008487,True
gene,PR:000001465,high affinity immunoglobulin gamma Fc receptor I,protein,,5.0,any,3.0,high affinity immunoglobulin gamma Fc receptor I,label,CD64,PR:000001465,True
gene,PR:000007430,high affinity immunoglobulin alpha and immunoglobulin mu Fc receptor,protein,,5.0,any,3.0,high affinity immunoglobulin alpha and immunoglobulin mu Fc receptor,label,CD351,PR:000007430,True
gene,PR:000008454,hepatitis A virus cellular receptor 2,protein,,5.0,any,3.0,hepatitis A virus cellular receptor 2,label,TIM3,PR:000008454,True
gene,PR:000008453,hepatitis A virus cellular receptor 1,protein,,5.0,any,3.0,hepatitis A virus cellular receptor 1,label,TIMD1,PR:000008453,True
organism-gene,PR:Q9LZF1,heavy metal-associated isoprenylated plant protein 6 (Arabidopsis thaliana),protein,,5.0,any,3.0,heavy metal-associated isoprenylated plant protein 6 (Arabidopsis thaliana),label,CDI19,PR:Q9LZF1,True
organism-gene,PR:Q9BY43,charged multivesicular body protein 4a (human),protein,PR:000005436,4.0,human,2.0,hVps32-1,exact,CDA04,PR:Q9BY43,True
organism-gene,PR:Q9Y5J1,U3 small nucleolar RNA-associated protein 18 homolog (human),protein,PR:000017204,4.0,human,2.0,hUTP18,exact,CDABP0061,PR:Q9Y5J1,True
organism-gene,PR:O43617,trafficking protein particle complex subunit 3 (human),protein,PR:000016614,4.0,human,2.0,hTRAPPC3,exact,CDABP0066,PR:O43617,True
organism-gene,PR:Q96BF3,transmembrane and immunoglobulin domain-containing protein 2 (human),protein,PR:000031565,4.0,human,2.0,hTMIGD2,exact,CD28H,PR:Q96BF3,True
organism-gene,PR:Q6P1N9,deoxyribonuclease TATDN1 (human),protein,PR:000031825,4.0,human,2.0,hTATDN1,exact,CDA11,PR:Q6P1N9,True
organism-gene,PR:P37802,transgelin-2 (human),protein,PR:000016040,4.0,human,2.0,hTAGLN2,exact,CDABP0035,PR:P37802,True
organism-gene,PR:P0DO92,protein T-ENOL (human),protein,,4.0,human,2.0,hT-ENOL,exact,CDIPT-AS1,PR:P0DO92,True
organism-gene,PR:Q9BY43,charged multivesicular body protein 4a (human),protein,PR:000005436,4.0,human,2.0,hSnf-1,exact,CDA04,PR:Q9BY43,True
organism-gene,PR:Q6X4U4,sclerostin domain-containing protein 1 (human),protein,PR:000015416,4.0,human,2.0,hSOSTDC1,exact,CDA019,PR:Q6X4U4,True
organism-gene,PR:Q8WWI5,choline transporter-like protein 1 (human),protein,PR:000001334,4.0,human,2.0,hSLC44A1,exact,CDW92,PR:Q8WWI5,True
organism-gene,PR:P12236,ADP/ATP translocase 3 (human),protein,PR:000015034,4.0,human,2.0,hSLC25A6,exact,CDABP0051,PR:P12236,True
organism-gene,PR:P07949,proto-oncogene tyrosine-protein kinase receptor Ret (human),protein,PR:000013895,4.0,human,2.0,hRET,exact,CDHR16,PR:P07949,True
organism-gene,PR:Q6DKI7,transmembrane protein PVRIG (human),protein,PR:000031880,4.0,human,2.0,hPVRIG,exact,CD112R,PR:Q6DKI7,True
organism-gene,PR:Q8NEY8,periphilin-1 (human),protein,PR:000013074,4.0,human,2.0,hPPHLN1,exact,hPPHLN1,PR:Q8NEY8,True
organism-gene,PR:Q6UXB8,peptidase inhibitor 16 (human),protein,PR:000012679,4.0,human,2.0,hPI16,exact,CD364,PR:Q6UXB8,True
organism-gene,PR:P18669,phosphoglycerate mutase 1 (human),protein,PR:000012592,4.0,human,2.0,hPGAM1,exact,CDABP0006,PR:P18669,True
organism-gene,PR:Q9H4M9,EH domain-containing protein 1 (human),protein,PR:000006942,4.0,human,2.0,hPAST1,exact,CDABP0131,PR:Q9H4M9,True
organism-gene,PR:P01160,natriuretic peptides A (human),protein,PR:000011374,4.0,human,2.0,hNPPA,exact,CDP,PR:P01160,True
organism-gene,PR:Q9P0J0,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13 (human),protein,PR:000011071,4.0,human,2.0,hNDUFA13,exact,CDA016,PR:Q9P0J0,True
organism-gene,PR:Q92614,unconventional myosin-XVIIIa (human),protein,PR:000010852,4.0,human,2.0,hMYO18A,exact,CD245,PR:Q92614,True
organism-gene,PR:Q9H2W1,membrane-spanning 4-domains subfamily A member 6A (human),protein,PR:000010660,4.0,human,2.0,hMS4A6A,exact,CDA01,PR:Q9H2W1,True
organism-gene,PR:Q4U2R6,"39S ribosomal protein L51, mitochondrial (human)",protein,PR:000010612,4.0,human,2.0,hMRPL51,exact,CDA09,PR:Q4U2R6,True
organism-gene,PR:Q9BYD3,"39S ribosomal protein L4, mitochondrial (human)",protein,PR:000010600,4.0,human,2.0,hMRPL4,exact,CDABP0091,PR:Q9BYD3,True
organism-gene,PR:Q9HBG7,T-lymphocyte surface antigen Ly-9 (human),protein,PR:000001842,4.0,human,2.0,hLY9,exact,CDABP0070,PR:Q9HBG7,True
organism-gene,PR:Q12918,killer cell lectin-like receptor subfamily B member 1 (human),protein,PR:000025670,4.0,human,2.0,hKLRB1,exact,CD161,PR:Q12918,True
organism-gene,PR:Q8N743,killer cell immunoglobulin-like receptor 3DL3 (human),protein,PR:000009339,4.0,human,2.0,hKIR3DL3,exact,CD158Z,PR:Q8N743,True
organism-gene,PR:P43630,killer cell immunoglobulin-like receptor 3DL2 (human),protein,PR:000009338,4.0,human,2.0,hKIR3DL2,exact,CD158K,PR:P43630,True
organism-gene,PR:P43629,killer cell immunoglobulin-like receptor 3DL1 (human),protein,PR:000009337,4.0,human,2.0,hKIR3DL1,exact,CD158E,PR:P43629,True
organism-gene,PR:Q14953,killer cell immunoglobulin-like receptor 2DS5 (human),protein,PR:000009336,4.0,human,2.0,hKIR2DS5,exact,CD158G,PR:Q14953,True
organism-gene,PR:P43632,killer cell immunoglobulin-like receptor 2DS4 (human),protein,PR:000009335,4.0,human,2.0,hKIR2DS4,exact,CD158I,PR:P43632,True
organism-gene,PR:P43631,killer cell immunoglobulin-like receptor 2DS2 (human),protein,PR:000009333,4.0,human,2.0,hKIR2DS2,exact,CD158J,PR:P43631,True
organism-gene,PR:Q14954,killer cell immunoglobulin-like receptor 2DS1 (human),protein,PR:000009332,4.0,human,2.0,hKIR2DS1,exact,CD158H,PR:Q14954,True
organism-gene,PR:Q8N109,killer cell immunoglobulin-like receptor 2DL5A (human),protein,PR:000009331,4.0,human,2.0,hKIR2DL5A,exact,CD158F1,PR:Q8N109,True
organism-gene,PR:Q99706,killer cell immunoglobulin-like receptor 2DL4 (human),protein,PR:000009330,4.0,human,2.0,hKIR2DL4,exact,CD158D,PR:Q99706,True
organism-gene,PR:P43628,killer cell immunoglobulin-like receptor 2DL3 (human),protein,PR:000009329,4.0,human,2.0,hKIR2DL3,exact,CD158B2,PR:P43628,True
organism-gene,PR:P43627,killer cell immunoglobulin-like receptor 2DL2 (human),protein,PR:000009328,4.0,human,2.0,hKIR2DL2,exact,CD158B1,PR:P43627,True
organism-gene,PR:P43626,killer cell immunoglobulin-like receptor 2DL1 (human),protein,PR:000009327,4.0,human,2.0,hKIR2DL1,exact,CD158A,PR:P43626,True
organism-gene,PR:Q9P055,JNK1/MAPK8-associated membrane protein (human),protein,PR:000009203,4.0,human,2.0,hJKAMP,exact,CDA06,PR:Q9P055,True
organism-gene,PR:P20702,integrin alpha-X (human),protein,PR:000001013,4.0,human,2.0,hITGAX,exact,CD11C,PR:P20702,True
organism-gene,PR:P11215,integrin alpha-M (human),protein,PR:000001012,4.0,human,2.0,hITGAM,exact,CD11B,PR:P11215,True
organism-gene,PR:P20701,integrin alpha-L (human),protein,PR:000001011,4.0,human,2.0,hITGAL,exact,CD11A,PR:P20701,True
organism-gene,PR:P13612,integrin alpha-4 (human),protein,PR:000009129,4.0,human,2.0,hITGA4,exact,CD49D,PR:P13612,True
organism-gene,PR:P17301,integrin alpha-2 (human),protein,PR:000001008,4.0,human,2.0,hITGA2,exact,CD49B,PR:P17301,True
organism-gene,PR:Q8TB96,T-cell immunomodulatory protein (human),protein,PR:000009123,4.0,human,2.0,hITFG1,exact,CDA08,PR:Q8TB96,True
organism-gene,PR:Q13651,interleukin-10 receptor subunit alpha (human),protein,PR:000001365,4.0,human,2.0,hIL10RA,exact,CD210,PR:Q13651,True
organism-gene,PR:P13164,interferon-induced transmembrane protein 1 (human),protein,,4.0,human,2.0,hIFITM1,exact,CD225,PR:P13164,True
organism-gene,PR:Q96PJ5,Fc receptor-like protein 4 (human),protein,PR:000007443,4.0,human,2.0,hIFGP2,exact,CD307d,PR:Q96PJ5,True
organism-seqgroup,PR:P30493,"HLA class I histocompatibility antigen, B-55 alpha chain (human)",protein,,4.0,human,2.0,hHLA-B*55,exact,CDABP0067,PR:P30493,True
organism-gene,PR:Q9BY41,histone deacetylase 8 (human),protein,PR:000008487,4.0,human,2.0,hHDAC8,exact,CDA07,PR:Q9BY41,True
organism-gene,PR:Q8TDQ0,hepatitis A virus cellular receptor 2 (human),protein,PR:000008454,4.0,human,2.0,hHAVCR2,exact,CD366,PR:Q8TDQ0,True
organism-gene,PR:Q96D42,hepatitis A virus cellular receptor 1 (human),protein,PR:000008453,4.0,human,2.0,hHAVCR1,exact,CD365,PR:Q96D42,True
organism-gene,PR:Q969F1,general transcription factor 3C polypeptide 6 (human),protein,PR:000008330,4.0,human,2.0,hGTF3C6,exact,CDA020,PR:Q969F1,True
organism-gene,PR:Q9Y5Q8,general transcription factor 3C polypeptide 5 (human),protein,PR:000008329,4.0,human,2.0,hGTF3C5,exact,CDABP0017,PR:Q9Y5Q8,True
organism-gene,PR:P04406,glyceraldehyde-3-phosphate dehydrogenase (human),protein,PR:000007840,4.0,human,2.0,hGAPDH,exact,CDABP0047,PR:P04406,True
organism-gene,PR:Q96PJ5,Fc receptor-like protein 4 (human),protein,PR:000007443,4.0,human,2.0,hFCRL4,exact,CD307d,PR:Q96PJ5,True
organism-gene,PR:O75015,low affinity immunoglobulin gamma Fc region receptor III-B (human),protein,PR:000001485,4.0,human,2.0,hFCGR3B,exact,CD16B,PR:O75015,True
organism-gene,PR:P08637,low affinity immunoglobulin gamma Fc region receptor III-A (human),protein,PR:000001484,4.0,human,2.0,hFCGR3A,exact,CD16A,PR:P08637,True
organism-gene,PR:Q9GZU8,PSME3-interacting protein (human),protein,PR:000011215,4.0,human,2.0,hFAM192A,exact,CDA018,PR:Q9GZU8,True
organism-gene,PR:Q96RQ1,endoplasmic reticulum-Golgi intermediate compartment protein 2 (human),protein,PR:000007175,4.0,human,2.0,hERGIC2,exact,CDA14,PR:Q96RQ1,True
organism-gene,PR:Q9BY44,eukaryotic translation initiation factor 2A (human),protein,PR:000006957,4.0,human,2.0,hEIF2A,exact,CDA02,PR:Q9BY44,True
organism-gene,PR:Q9H4M9,EH domain-containing protein 1 (human),protein,PR:000006942,4.0,human,2.0,hEHD1,exact,CDABP0131,PR:Q9H4M9,True
organism-gene,PR:Q9H773,dCTP pyrophosphatase 1 (human),protein,PR:000006329,4.0,human,2.0,hDCTPP1,exact,CDA03,PR:Q9H773,True
organism-gene,PR:Q9BV87,protein CNPPD1 (human),protein,PR:000029099,4.0,human,2.0,hCNPPD1,exact,CDABP0125,PR:Q9BV87,True
organism-gene,PR:Q6UXN8,C-type lectin domain family 9 member A (human),protein,PR:000026296,4.0,human,2.0,hCLEC9A,exact,CD370,PR:Q6UXN8,True
organism-gene,PR:Q9BXN2,C-type lectin domain family 7 member A (human),protein,PR:000001807,4.0,human,2.0,hCLEC7A,exact,CD369,PR:Q9BXN2,True
organism-gene,PR:Q8WXI8,C-type lectin domain family 4 member D (human),protein,PR:000005569,4.0,human,2.0,hCLEC4D,exact,CD368,PR:Q8WXI8,True
organism-gene,PR:Q9UMR7,C-type lectin domain family 4 member A (human),protein,PR:000005568,4.0,human,2.0,hCLEC4A,exact,CD367,PR:Q9UMR7,True
organism-gene,PR:Q5QGZ9,C-type lectin domain family 12 member A (human),protein,PR:000005559,4.0,human,2.0,hCLEC12A,exact,CD371,PR:Q5QGZ9,True
organism-gene,PR:Q9BW66,cyclin-dependent kinase 2-interacting protein (human),protein,PR:000005497,4.0,human,2.0,hCINP,exact,hCINP,PR:Q9BW66,True
organism-gene,PR:Q9BY43,charged multivesicular body protein 4a (human),protein,PR:000005436,4.0,human,2.0,hCHMP4A,exact,CDA04,PR:Q9BY43,True
organism-gene,PR:P40198,carcinoembryonic antigen-related cell adhesion molecule 3 (human),protein,PR:000001329,4.0,human,2.0,hCEACAM3,exact,CD66D,PR:P40198,True
organism-gene,PR:Q9Y6F8,testis-specific chromodomain protein Y 1 (human),protein,PR:000037037,4.0,human,2.0,hCDY1B,exact,hCDY1,PR:Q9Y6F8,True
organism-gene,PR:Q9Y6F8,testis-specific chromodomain protein Y 1 (human),protein,PR:000037037,4.0,human,2.0,hCDY1,exact,hCDY1,PR:Q9Y6F8,True
organism-gene,PR:Q9UH64,susceptibility protein NSG-x (human),protein,,4.0,human,2.0,hCDKN2A-AS1,exact,hCDKN2A-AS1,PR:Q9UH64,True
organism-gene,PR:Q5VV42,threonylcarbamoyladenosine tRNA methylthiotransferase (human),protein,PR:000005268,4.0,human,2.0,hCDKAL1,exact,hCDKAL1,PR:Q5VV42,True
organism-gene,PR:P50613,cyclin-dependent kinase 7 (human),protein,PR:000005265,4.0,human,2.0,hCDK7,exact,hCDK7,PR:P50613,True
organism-gene,PR:Q00535,cyclin-dependent-like kinase 5 (human),protein,PR:000005258,4.0,human,2.0,hCDK5,exact,hCDK5,PR:Q00535,True
organism-gene,PR:Q9BWU1,cyclin-dependent kinase 19 (human),protein,PR:000005199,4.0,human,2.0,hCDK19,exact,hCDK19,PR:Q9BWU1,True
organism-gene,PR:P06493,cyclin-dependent kinase 1 (human),protein,PR:000003271,4.0,human,2.0,hCDK1,exact,hCDK1,PR:P06493,True
organism-gene,PR:Q9H305,cell death-inducing p53-target protein 1 (human),protein,,4.0,human,2.0,hCDIP1,exact,CDIP,PR:Q9H305,True
organism-gene,PR:Q9Y5S2,serine/threonine-protein kinase MRCK beta (human),protein,PR:000005206,4.0,human,2.0,hCDC42BPB,exact,hCDC42BPB,PR:Q9Y5S2,True
organism-gene,PR:Q8TCZ2,CD99 antigen-like protein 2 (human),protein,PR:000005179,4.0,human,2.0,hCD99L2,exact,hCD99L2,PR:Q8TCZ2,True
organism-gene,PR:P10966,T-cell surface glycoprotein CD8 beta chain (human),protein,PR:000001085,4.0,human,2.0,hCD8B,exact,CD8b,PR:P10966,True
organism-gene,PR:P31358,CAMPATH-1 antigen (human),protein,PR:000001295,4.0,human,2.0,hCD52,exact,hCD52,PR:P31358,True
organism-gene,PR:P29965,CD40 ligand (human),protein,PR:000001950,4.0,human,2.0,hCD40LG,exact,hCD40LG,PR:P29965,True
organism-gene,PR:Q8TDQ1,CMRF35-like molecule 1 (human),protein,PR:000005168,4.0,human,2.0,hCD300LF,exact,CD300F,PR:Q8TDQ1,True
organism-gene,PR:Q6UXZ3,CMRF35-like molecule 4 (human),protein,PR:000005167,4.0,human,2.0,hCD300LD,exact,CD300D,PR:Q6UXZ3,True
organism-gene,PR:A8K4G0,CMRF35-like molecule 7 (human),protein,PR:000005166,4.0,human,2.0,hCD300LB,exact,CD300B,PR:A8K4G0,True
organism-gene,PR:A0A0K2S4Q6,protein CD300H (human),protein,,4.0,human,2.0,hCD300H,exact,hCD300H,PR:A0A0K2S4Q6,True
organism-gene,PR:Q9UGN4,CMRF35-like molecule 8 (human),protein,PR:000001414,4.0,human,2.0,hCD300A,exact,CD300a,PR:Q9UGN4,True
organism-gene,PR:O95400,CD2 antigen cytoplasmic tail-binding protein 2 (human),protein,PR:000005164,4.0,human,2.0,hCD2BP2,exact,hCD2BP2,PR:O95400,True
organism-gene,PR:P26842,CD27 antigen (human),protein,PR:000001963,4.0,human,2.0,hCD27,exact,hCD27,PR:P26842,True
organism-gene,PR:Q9NR16,scavenger receptor cysteine-rich type 1 protein M160 (human),protein,PR:000005159,4.0,human,2.0,hCD163L1,exact,CD163B,PR:Q9NR16,True
organism-gene,PR:Q8N1B3,cyclin-Q (human),protein,PR:000029103,4.0,human,2.0,hCCNQ,exact,hCCNQ,PR:Q8N1B3,True
organism-gene,PR:Q86YS7,C2 domain-containing protein 5 (human),protein,PR:000039860,4.0,human,2.0,hC2CD5,exact,hC2CD5,PR:Q86YS7,True
organism-gene,PR:Q9BXK5,Bcl-2-like protein 13 (human),protein,PR:000004695,4.0,human,2.0,hBCL2L13,exact,CD003,PR:Q9BXK5,True
organism-gene,PR:Q9Y5Z0,beta-secretase 2 (human),protein,PR:000004616,4.0,human,2.0,hBACE2,exact,CDA13,PR:Q9Y5Z0,True
organism-gene,PR:P61769,beta-2-microglobulin (human),protein,PR:000004580,4.0,human,2.0,hB2M,exact,CDABP0092,PR:P61769,True
organism-gene,PR:P48960,CD97 antigen (human),protein,PR:000001311,4.0,human,2.0,hADGRE5,exact,CD97,PR:P48960,True
organism-gene,PR:Q9LD83,guard cell S-type anion channel SLAC1 (Arabidopsis thaliana),protein,,5.0,any,3.0,guard cell S-type anion channel SLAC1 (Arabidopsis thaliana),label,CDI3,PR:Q9LD83,True
gene,PR:000005175,CD63 molecule,protein,,4.0,any,3.0,granulophysin,exact,CD63,PR:000005175,True
gene,PR:000001354,granulocyte-macrophage colony-stimulating factor receptor subunit alpha,protein,,5.0,any,3.0,granulocyte-macrophage colony-stimulating factor receptor subunit alpha,label,CD116,PR:000001354,True
